,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
0,人工知能　AIとは,"（ア）に最もよく当てはまる選択肢を選んでください。
ペンシルバニア大学が開発した世界初の汎用コンピュータを（ア）という。",マッキントッシュ（Macintosh）,エニアック（ENIAC）,エニグマ（Enigma）,チューリングマシン（Turing machine）,2,"選択肢2が正解です。
エニアック（ENIAC）とは、ペンシルバニア大学が開発し、1946年に稼働した世界初の汎用コンピュータのことです。1万8000本近い真空管を使ったとされています。

選択肢1：マッキントッシュ（Macintosh）は、Appleが開発および販売しているパーソナルコンピュータのことです。
選択肢3：エニグマ （Enigma）は、第二次世界大戦、ドイツが用いた暗号機のことです。
選択肢4：チューリングマシンとは、数学者アラン・チューリングが考えた、計算を自動的に行う機械のモデルのことです。"
1,人工知能　AIとは,"（ア）に最もよく当てはまる選択肢を選んでください。
1956年にダートマス大学で行われた研究発表会で、初めての人工知能プログラムである（ア）のデモンストレーションを行った。",イライザ（ELIZA）,マイシン（MYCIN）,ロジック・セオリスト（Logic Theorist）,エキスパートシステム,3,"選択肢3が正解です。
ロジック・セオリスト（Logic Theorist）とは、ダートマス会議にて、ニューウェルとサイモンによってデモストレーションされた初の人工知能プログラムです。

選択肢1：イライザとは、チャットボット（人工無脳）の元祖となる対話システムです。イライザは、ルールに従って文を返すものでしたが、対話相手が人間だと勘違いする人も存在しました。
選択肢2：マイシン（MYCIN）とは、スタンフォード大学で開発されたエキスパートシステムで、感染した細菌を判断するためのルールベースのシステムのことです。また、マイシン（MYCIN）による診断結果は、専門医の診断結果よりも精度は低かったものの、専門ではない医師よりも診断結果の精度は高かったとされています。
選択肢4：エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。"
2,人工知能　AIとは,エキスパートシステムの研究が盛んだった第2次人工知能ブームが過ぎ去った原因として、最も不適切な選択肢を選択してください。,専門家の暗黙知を明文化するのが困難だったため,簡単な問題しか解くことができず実務的ではなかったため,多くの常識は明文化されておらずコンピュータで扱うことが困難だったため,知識に矛盾が発生し、調整することが困難だったため,2,"選択肢2が正解です。
選択肢2は第1次人工知能ブームが終焉した原因の説明です。

選択肢1：正しい説明です。第2次人工知能ブームが過ぎ去った原因の1つに、専門家の暗黙知を明文化するのが困難だったことが挙げられます。
選択肢3：正しい説明です。第2次人工知能ブームが過ぎ去った原因の1つに、多くの常識は明文化されておらずコンピュータで扱うことが困難だったことが挙げられます。
選択肢4：正しい説明です。第2次人工知能ブームが過ぎ去った原因の1つに、知識に矛盾が発生し、調整することが困難だったことが挙げられます。"
3,人工知能　AIとは,自らの判断で自律的に振る舞うエージェントに基づき分類したとき、「単純な制御プログラム（ルールベースの制御）」の説明として最も適切な選択肢を選択してください。,あらかじめ決められた設定に基づいて振る舞うプログラム,複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なもの,大量のデータから入力と出力のルール・関係性などを学習したもの,何に注目するべきかを表す特徴量を自ら判断し学習するもの,1,"選択肢1が正解です。
あらかじめ決められた設定に基づいて振る舞うプログラムは「単純な制御プログラム（ルールベースの制御）」です。単純な制御プログラム（ルールベースの制御）を搭載した製品として、冷蔵庫、エアコン、炊飯器などが挙げられます。また、人工知能をレベル別に分類したとき、単純な制御プログラム（ルールベースの制御）はレベル1に該当します。

選択肢2：複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なものは「古典的な人工知能」です。古典的な人工知能を搭載した製品として、お掃除ロボット、医療診断プログラムなどが挙げられます。また、人工知能をレベル別に分類したとき、古典的な人工知能はレベル2に該当します。
選択肢3：大量のデータから入力と出力のルール・関係性などを学習したものは「機械学習を取り入れた人工知能」です。機械学習を取り入れた人工知能を搭載した製品（サービス）として、検索エンジン・スパムメール判定システムなどが挙げられます。また、人工知能をレベル別に分類したとき、機械学習を取り入れた人工知能はレベル3に該当します。
選択肢4：何に注目するべきかを表す特徴量を自ら判断し学習するものは「ディープラーニングを取り入れた人工知能」です。ディープラーニングを取り入れた人工知能を搭載した製品（サービス）として、画像認識、音声認識、自動翻訳などが挙げられます。また、人工知能をレベル別に分類したとき、ディープラーニングを取り入れた人工知能はレベル4に該当します。"
4,人工知能　AIとは,人工知能には、ブームと冬の時代が存在する。ブームと冬の時代に関する説明として最も適切な選択肢を選択してください。,各ブームで研究が進んだ分野は、次のブームでは基本的に研究の対象外となる,各ブームで研究が進んだ分野は、前のブームには存在しなかった考え方である,第2次人工知能ブームが終わった後でも、探索や推論の研究が行われている,各ブームは独立しており、影響し合う研究分野は存在しない,3,"選択肢3が正解です。
第2次人工知能ブームが終わった後でも、探索や推論の研究が行われています。また、基本的にブームに関係なく、人工知能に関する研究は常に行われています。

選択肢1：前のブームで研究が進んだ分野は、次のブームでも研究されています。
選択肢2：前のブームの時代に、考え方・アイデアが存在するケースは多いです。しかし、技術的に不可能だったため、研究が進まなかった分野もあります。
選択肢4：各ブームはお互いに影響し合っています。例えば、推論や探索で使用されていた考え方・アプローチが、ディープラーニングで使用されています。"
5,人工知能　AIとは,"（ア）に最もよく当てはまる選択肢を選んでください。
1997年当時の世界チャンピオンに優勝した、IBMが開発したチェス専用の人工知能を（ア）と言います。",ディープ・ブルー,セマンティック・ウェブ,ワトソン（Watson）,エキスパートシステム,1,"選択肢1が正解です。
ディープ・ブルーは、IBMが開発したチェス専用の人工知能で、1997年当時の世界チャンピオンに優勝しました。

選択肢2：セマンティック・ウェブとは、Webページに何が書かれているかをコンピュータが理解できるようにメタデータを付与し、コンピュータが自律的に処理を行う技術のことを言います。
選択肢3：ワトソン（Watson）は、IBMが開発した質問応答（Question-Answering）システムで、2011年にアメリカのクイズ番組に出場し、優勝しました。また、ワトソン（Watson）は、蓄積されている大量のデータから最適な回答を見つけ出すシステムであり、質問を理解しているわけではありません。
選択肢4：エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。"
6,人工知能　AIとは,人工知能とロボットの研究に関する説明として最も不適切な選択肢を選んでください。,人工知能研究はロボット工学の知識を要することがある,人工知能とロボットの研究を明確に区別することは可能である,ロボットは基本的にあらかじめ決められた動作を行うものである,人工知能とロボットを組み合わせて研究している研究者も存在する,2,"選択肢2が正解です。
人工知能とロボットの研究は重なっている部分があるため、明確に区別することは難しいとされています。

選択肢1：人工知能の研究は幅広い知識が必要になります。そのため、ロボット工学の知識が必要になることもあります。
選択肢3：ロボットは基本的にあらかじめ決められた動作を行うものです。
選択肢4：人工知能分野とロボット分野は親和性が高いため、両者を組み合わせた研究を行っている研究者も存在します。"
7,人工知能　AIとは,推論の説明として、最も適切な選択肢を選択してください。,様々な情報から必要な情報を探し出すこと,知っている情報から未知の事柄を予測すること,データの特徴を定量的に表したもの,終局までプレイすること,2,"選択肢2が正解です。
推論とは、知っている情報から未知の事柄を予測することです。

選択肢1：探索の説明です。探索とは、様々な情報から必要な情報を探し出すことです。
選択肢3：特徴量の説明です。特徴量とは、対象となるデータの特徴を定量的に表したものです。
選択肢4：プレイアウトの説明です。プレイアウトとは、終局までプレイすることを言います。"
8,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
第2次AIブームでは、知識表現に関する研究が盛んだった。概念間の意味関係を表現する（ア）も知識表現の1つである。（ア）で重要な関係性として、継承関係を表す（イ）、属性を表す（ウ）、所有関係を表す（エ）などがある。",レコメンデーションシステム,ランダムフォレスト,クラスタリング,意味ネットワーク,4,"選択肢4が正解です。
意味ネットワークとは、概念間の意味関係を表現するために使われるもので、概念をノードで表し、概念の意味関係をリンクで表していきます。

選択肢1：レコメンデーションシステムとは、ユーザーの興味があるものを学習し、興味がありそうな情報を提案するシステムのことです。
選択肢2：ランダムフォレストとは、ランダムに選ばれた訓練データで学習した決定木を複数作成し、決定木で予測された結果の多数決でモデル全体の最終的な出力を決定する手法のことです。分類では多数決でモデル全体の最終的な出力を決定しますが、回帰の場合は多数決ではなく各決定木が予測した結果の平均値をモデル全体の最終的な出力とします。
選択肢3：クラスタリング（クラスタ分析）とは、データを類似度に基づいてグループ（クラスタ）に分けていく手法のことです。"
9,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
第2次AIブームでは、知識表現に関する研究が盛んだった。概念間の意味関係を表現する（ア）も知識表現の1つである。（ア）で重要な関係性として、継承関係を表す（イ）、属性を表す（ウ）、所有関係を表す（エ）などがある。",is-aの関係,hsa-aの関係,be-doの関係,part-ofの関係,1,"選択肢1が正解です。
is-aの関係とは、意味ネットワークの重要な関係性の1つで、継承関係を表します。例えば、「人間 is a 哺乳類」といった関係です。

選択肢2：has-aの関係とは、意味ネットワークの重要な関係性の1つで、所有関係を表します。例えば、「車 has a タイヤ」といった関係です。
選択肢3：be-doの関係というものはありません。
選択肢4：part-ofの関係とは、意味ネットワークの重要な関係性の1つで、属性関係を表します。例えば、「タイヤ part of 車」といった関係です。"
