,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
0,人工知能　AIとは,自らの判断で自律的に振る舞うエージェントに基づき分類したとき、「機械学習を取り入れた人工知能」の説明として最も適切な選択肢を選択してください。,あらかじめ決められた設定に基づいて振る舞うプログラム,複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なもの,大量のデータから入力と出力のルール・関係性などを学習したもの,何に注目するべきかを表す特徴量を自ら判断し学習するもの,3,"選択肢3が正解です。
大量のデータから入力と出力のルール・関係性などを学習したものは「機械学習を取り入れた人工知能」です。機械学習を取り入れた人工知能を搭載した製品（サービス）として、検索エンジン・スパムメール判定システムなどが挙げられます。また、人工知能をレベル別に分類したとき、機械学習を取り入れた人工知能はレベル3に該当します。

選択肢1：あらかじめ決められた設定に基づいて振る舞うプログラムは「単純な制御プログラム（ルールベースの制御）」です。単純な制御プログラム（ルールベースの制御）を搭載した製品として、冷蔵庫、エアコン、炊飯器などが挙げられます。また、人工知能をレベル別に分類したとき、単純な制御プログラム（ルールベースの制御）はレベル1に該当します。
選択肢2：複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なものは「古典的な人工知能」です。古典的な人工知能を搭載した製品として、お掃除ロボット、医療診断プログラムなどが挙げられます。また、人工知能をレベル別に分類したとき、古典的な人工知能はレベル2に該当します。
選択肢4：何に注目するべきかを表す特徴量を自ら判断し学習するものは「ディープラーニングを取り入れた人工知能」です。ディープラーニングを取り入れた人工知能を搭載した製品（サービス）として、画像認識、音声認識、自動翻訳などが挙げられます。また、人工知能をレベル別に分類したとき、ディープラーニングを取り入れた人工知能はレベル4に該当します。"
1,人工知能　AIとは,機械学習とデータの関係に関する説明として、最も不適切な選択肢を選択してください。,一般にデータ数が多いほど、モデルの精度は高くなる,特徴量や学習率は全て機械が自動的に決めるため、ブラックボックス化が起こりやすい,インターネットの普及により、機械学習で使用できるデータ量が増加した,カメラなどの価格が低下したことでデータを収集するコストも低下した,2,"選択肢2が正解です。
特徴量や学習率を機械が全て決めているわけではありません。例えば、学習率は「専門家」が決めていることが多いです。よって、「特徴量や学習率は全て機械が自動的に決めるため、ブラックボックス化が起こりやすい」は間違いです。

選択肢1：正しい説明です。一般にデータ数が多いほど、モデルの精度は高くなります。
選択肢3：正しい説明です。インターネットの普及により、機械学習で使用できるデータ量が増加しました。
選択肢4：正しい説明です。カメラなどの価格が低下したことでデータを収集するコストも低下しました。"
2,人工知能　AIとは,ディープラーニングを取り入れた人工知能とは、何に注目するべきかを表す（ア）を自ら判断し学習するものである。,停留点,Q値,コーパス,特徴量,4,"選択肢4が正解です。
特徴量とは、対象となるデータの特徴を定量的に表したものです。

選択肢1：停留点とは、関数の微分が0になる点のことを言います。停留点の影響で学習が進みにくくなります。
選択肢2：Q値とは、行動価値関数から返ってくる値のことです。
選択肢3：コーパスとは、自然言語の文章を構造化し、まとめたもので、対訳データとも言われています"
3,人工知能　AIとは,ジョン・マッカーシーは、1956年に開催された（ア）会議で、人工知能という言葉を初めて使った人物である。,ダートマス,ハーバード,オックスフォード,マサチューセッツ,1,"選択肢1が正解です。
ジョン・マッカーシーは、1956年に開催された（ダートマス）会議で、人工知能という言葉を初めて使った人物です。
以上から、選択肢1のダートマスが正解になります。"
4,人工知能　AIとは,"（ア）に最もよく当てはまる選択肢を選んでください。
人工知能研究は、「ブーム」と「冬の時代」が繰り返されてきた。第1次人工知能ブームは推論・探索の時代と言われ、推論・探索の研究が進んだ。しかし、迷路の謎解きなどのように簡単な問題である（ア）は解ける一方で、現実世界の複雑な問題を解くことができないことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第2次人工知能ブームは、知識の時代と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムである（イ）などの研究が進められた。また、日本では、政府によって（ウ）と呼ばれる大型プロジェクトが推進された。しかし、大量の知識を与えるコストが大きい上に、知識を明確にカテゴリー分けすることが難しいことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第3次人工知能ブームは、機械学習・特徴表現学習の時代と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得する機械学習、他にもデータの特徴量を人工知能自らが学習する（エ）などの登場が「ブーム」のきっかけになった。",シンボルグラウンディング問題,フレーム問題,トイ・プロブレム,勾配消失問題,3,"選択肢3が正解です。
トイ・プロブレムとは、迷路やオセロなどといったルールが決まりきっているような簡単な問題のことをいいます。

選択肢1：シンボルグラウンディング問題とは、コンピュータがシンボル（記号）を現実世界の意味とどのように結びつけるかという問題のことを言います。例えば、人間の場合は、「ウマ」と「縞模様」を知っていれば、「シマウマ」を知らなくても、縞模様をもつウマであることを想像することができます。一方、人工知能は「ウマ」と「縞模様」の用語を学習していても、用語を本質的に理解していないので、両者を結びつけて「シマウマ」を想像することができません。シンボルグラウンディング問題は、認知科学者のスティーブン・ハルナッドにより議論されたものです。
選択肢2：フレーム問題とは、処理能力が限られている人工知能では、現実に起こりうる全ての問題に対応することができないという問題のことです。フレーム問題は、人工知能における解決するべき重要な問題の1つです。
選択肢4：勾配消失問題とは、誤差逆伝播法において、出力層から入力層に向けて勾配が緩やかになっていき、入力層付近では実質的に重みが調整できなくなり、学習が進まなくなってしまう問題のことをいいます。"
5,人工知能　AIとは,"（イ）に最もよく当てはまる選択肢を選んでください。
人工知能研究は、「ブーム」と「冬の時代」が繰り返されてきた。第1次人工知能ブームは推論・探索の時代と言われ、推論・探索の研究が進んだ。しかし、迷路の謎解きなどのように簡単な問題である（ア）は解ける一方で、現実世界の複雑な問題を解くことができないことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第2次人工知能ブームは、知識の時代と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムである（イ）などの研究が進められた。また、日本では、政府によって（ウ）と呼ばれる大型プロジェクトが推進された。しかし、大量の知識を与えるコストが大きい上に、知識を明確にカテゴリー分けすることが難しいことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第3次人工知能ブームは、機械学習・特徴表現学習の時代と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得する機械学習、他にもデータの特徴量を人工知能自らが学習する（エ）などの登場が「ブーム」のきっかけになった。",深層学習,ナレッジ管理システム,シンギュラリティー,エキスパートシステム,4,"選択肢4が正解です。
エキスパートシステムとは、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムのことを言います。

選択肢1：深層学習とは、データの特徴を定量的に表したもの（特徴量）を人工知能が自ら学習する手法のことで、ディープラーニングとも呼ばれています。
選択肢2：ナレッジ管理システムとは、知識を管理するシステムのことで、基本的に推論や判断を行うことはありません。
選択肢3：シンギュラリティーとは、人工知能の発展により、人間の能力を超える技術的特異点のことを言います。また、人工知能が自分よりも賢い人工知能を作れるようになることで、加速度的に人工知能の性能は飛躍すると予測されています。レイ・カーツワイルは2045年にシンギュラリティーが訪れることを予測しています。"
6,人工知能　AIとは,"（ウ）に最もよく当てはまる選択肢を選んでください。
人工知能研究は、「ブーム」と「冬の時代」が繰り返されてきた。第1次人工知能ブームは推論・探索の時代と言われ、推論・探索の研究が進んだ。しかし、迷路の謎解きなどのように簡単な問題である（ア）は解ける一方で、現実世界の複雑な問題を解くことができないことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第2次人工知能ブームは、知識の時代と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムである（イ）などの研究が進められた。また、日本では、政府によって（ウ）と呼ばれる大型プロジェクトが推進された。しかし、大量の知識を与えるコストが大きい上に、知識を明確にカテゴリー分けすることが難しいことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第3次人工知能ブームは、機械学習・特徴表現学習の時代と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得する機械学習、他にもデータの特徴量を人工知能自らが学習する（エ）などの登場が「ブーム」のきっかけになった。",Cycプロジェクト,第5世代コンピュータ,ブラックボックス,DENDRAL,2,"選択肢2が正解です。
第5世代コンピュータとは、1982年から1992年にかけて日本政府によって推進された大型の国家プロジェクトで、人工知能コンピュータの開発を目的とし、およそ540億円の国家予算が投入されました。

選択肢1：Cycプロジェクトとは、人間が持つ一般常識を全てデータベース化し、人間と同様の推論システムを構築することを目的とするプロジェクトのことです。1984年に開始され、現在でも入力作業は続けられています。
選択肢3：ブラックボックスとは、中身がどうなっているのか不明であることをいいます。人工知能分野では、AIが出力したものが、どのようなプロセスで導き出されたのか分からないことをブラックボックスといいます。
選択肢4：DENDRALは、1960年代の人工知能に関するプロジェクトのことで、未知の有機化合物を分析し、有機化学の知識を使って特定する世界初のエキスパートシステムです。"
7,人工知能　AIとは,"（エ）に最もよく当てはまる選択肢を選んでください。
人工知能研究は、「ブーム」と「冬の時代」が繰り返されてきた。第1次人工知能ブームは推論・探索の時代と言われ、推論・探索の研究が進んだ。しかし、迷路の謎解きなどのように簡単な問題である（ア）は解ける一方で、現実世界の複雑な問題を解くことができないことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第2次人工知能ブームは、知識の時代と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムである（イ）などの研究が進められた。また、日本では、政府によって（ウ）と呼ばれる大型プロジェクトが推進された。しかし、大量の知識を与えるコストが大きい上に、知識を明確にカテゴリー分けすることが難しいことが明らかになると、「ブーム」が終わり「冬の時代」になってしまった。 第3次人工知能ブームは、機械学習・特徴表現学習の時代と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得する機械学習、他にもデータの特徴量を人工知能自らが学習する（エ）などの登場が「ブーム」のきっかけになった。",ディープラーニング,人工無脳,Question-Answering（質問応答）,OpenAI Five,1,"選択肢1が正解です。
ディープラーニングとは、データの特徴を定量的に表したもの（特徴量）を人工知能が自ら学習する手法のことで、深層学習とも呼ばれています。

選択肢2：人工無脳とは、チャットボットなどと呼ばれるプログラムのことをいいます。あらかじめ質問に対する回答などが設定されており、入力されたキーワードをもとに機械的に質問に回答するプログラムです。
選択肢3：Question-Answering（質問応答）とは、自然言語の質問をユーザーから受けつけ、その解答を返すシステムのことを言います。
選択肢4：OpenAI Fiveは、人工知能を研究する団体であるOpenAIが開発したシステムで、対戦型リアルタイムストラテジーゲーム「Dota 2」の2018年度世界大会覇者OGに勝利しました。"
8,人工知能をめぐる動向,"（ア）に最もよく当てはまる選択肢を選んでください。
コンピュータでボードゲームを解く場合、探索を行うが、その組み合わせの数は天文学的な数字になることがある。そこで、効率の良い探索を行うために（ア）の概念が取り入れられている。また、（ア）を計算するとき、あらかじめ知っている知識を活用することで探索を効率化することができる。なお、あらかじめ知っている知識は、（イ）と呼ばれる。ボードゲームのゲーム戦略としては、自分が手を打つときは自分が有利に、相手が手を打つときは自分が不利になるような手を打つだろうと仮定して戦略を立てる手法である（ウ）が使われている。（ウ）による探索を効率化するために、特定の手（ノード）を切り捨てる（エ）という手法が使われている。",コスト,方策,コーパス,特異値分解,1,"選択肢1が正解です。
コストとは、効率の良い探索を行うために導入されている概念で、コストが大きすぎる探索を省略することで、探索数の削減を行っています。

選択肢2：方策とは、エージェントの行動基準のことを言います。方策には、ε-greedy方策やUCB方策などがあります。
選択肢3：コーパスとは、自然言語の文章を構造化し、まとめたもので、対訳データとも言われています。
選択肢4：特異値分解（SVD）とは、次元削減のために用いられる手法の1つです。"
9,人工知能をめぐる動向,"（イ）に最もよく当てはまる選択肢を選んでください。
コンピュータでボードゲームを解く場合、探索を行うが、その組み合わせの数は天文学的な数字になることがある。そこで、効率の良い探索を行うために（ア）の概念が取り入れられている。また、（ア）を計算するとき、あらかじめ知っている知識を活用することで探索を効率化することができる。なお、あらかじめ知っている知識は、（イ）と呼ばれる。ボードゲームのゲーム戦略としては、自分が手を打つときは自分が有利に、相手が手を打つときは自分が不利になるような手を打つだろうと仮定して戦略を立てる手法である（ウ）が使われている。（ウ）による探索を効率化するために、特定の手（ノード）を切り捨てる（エ）という手法が使われている。",ビッグデータ,ヒューリスティックな知識,深層信念ネットワーク,データマイニング,2,"選択肢2が正解です。
ヒューリスティックな知識とは、経験などであらかじめ知っている知識のことを言います。

選択肢1：ビッグデータとは、様々な形式の大量のデータのことです。一般的に、ビッグデータは、量・速度・多様性の特性を持っています。
選択肢3：深層信念ネットワークとは、ジェフリー・ヒントンが提唱したモデルで、オートエンコーダの代わりに制限付きボルツマンマシンを積み重ねたモデルです。
選択肢4：データマイニングとは、膨大なデータ（ビッグデータ）を分析して、有益な情報を抽出する手法のことを言います。"
