,単元,問題文,選択肢1,選択肢2,選択肢3,選択肢4,解答,解説
0,人工知能とは,自らの判断で自律的に振る舞うエージェントに基づき分類したとき、「ディープラーニングを取り入れた人工知能」の説明として最も適切な選択肢を選択してください。,あらかじめ決められた設定に基づいて振る舞うプログラム,複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なもの,大量のデータから入力と出力のルール・関係性などを学習したもの,何に注目するべきかを表す特徴量を自ら判断し学習するもの,4,"選択肢4が正解です。
何に注目するべきかを表す特徴量を自ら判断し学習するものは「ディープラーニングを取り入れた人工知能」です。ディープラーニングを取り入れた人工知能を搭載した製品（サービス）として、画像認識、音声認識、自動翻訳などが挙げられます。また、人工知能をレベル別に分類したとき、ディープラーニングを取り入れた人工知能はレベル4に該当します。

選択肢1：あらかじめ決められた設定に基づいて振る舞うプログラムは「単純な制御プログラム（ルールベースの制御）」です。単純な制御プログラム（ルールベースの制御）を搭載した製品として、冷蔵庫、エアコン、炊飯器などが挙げられます。また、人工知能をレベル別に分類したとき、単純な制御プログラム（ルールベースの制御）はレベル1に該当します。
選択肢2：複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なものは「古典的な人工知能」です。古典的な人工知能を搭載した製品として、お掃除ロボット、医療診断プログラムなどが挙げられます。また、人工知能をレベル別に分類したとき、古典的な人工知能はレベル2に該当します。
選択肢3：大量のデータから入力と出力のルール・関係性などを学習したものは「機械学習を取り入れた人工知能」です。機械学習を取り入れた人工知能を搭載した製品（サービス）として、検索エンジン・スパムメール判定システムなどが挙げられます。また、人工知能をレベル別に分類したとき、機械学習を取り入れた人工知能はレベル3に該当します。"
1,人工知能とは,自らの判断で自律的に振る舞うエージェントに基づき分類したとき、「古典的な人工知能」の説明として最も適切な選択肢を選択してください。,あらかじめ決められた設定に基づいて振る舞うプログラム,複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なもの,大量のデータから入力と出力のルール・関係性などを学習したもの,何に注目するべきかを表す特徴量を自ら判断し学習するもの,2,"選択肢2が正解です。
複数の入力を組み合わせ、推論・探索・知識データを活用し、状況に応じて複雑な振る舞いが可能なものは「古典的な人工知能」です。古典的な人工知能を搭載した製品として、お掃除ロボット、医療診断プログラムなどが挙げられます。また、人工知能をレベル別に分類したとき、古典的な人工知能はレベル2に該当します。

選択肢1：あらかじめ決められた設定に基づいて振る舞うプログラムは「単純な制御プログラム（ルールベースの制御）」です。単純な制御プログラム（ルールベースの制御）を搭載した製品として、冷蔵庫、エアコン、炊飯器などが挙げられます。また、人工知能をレベル別に分類したとき、単純な制御プログラム（ルールベースの制御）はレベル1に該当します。
選択肢3：大量のデータから入力と出力のルール・関係性などを学習したものは「機械学習を取り入れた人工知能」です。機械学習を取り入れた人工知能を搭載した製品（サービス）として、検索エンジン・スパムメール判定システムなどが挙げられます。また、人工知能をレベル別に分類したとき、機械学習を取り入れた人工知能はレベル3に該当します。
選択肢4：何に注目するべきかを表す特徴量を自ら判断し学習するものは「ディープラーニングを取り入れた人工知能」です。ディープラーニングを取り入れた人工知能を搭載した製品（サービス）として、画像認識、音声認識、自動翻訳などが挙げられます。また、人工知能をレベル別に分類したとき、ディープラーニングを取り入れた人工知能はレベル4に該当します。"
2,人工知能とは,第3次AIブーム以前にも、ディープラーニングに関するアイデアは存在した。しかし、最近になってディープラーニングに関する研究が一気に進んだ。その理由として最も適切な選択肢を選択してください。,日本で小中学校でもプログラミングを教えるようになったため,GPUなどのハードウェアの性能が向上したため,個人情報利用に関する保護が緩くなったため,シンギュラリティが到達したため,2,"選択肢2が正解です。
GPUなどのハードウェアの性能が向上したことで、ディープラーニングに関する研究が一気に進みました。以前は、ハードウェアの性能が低く、学習に時間がかかりすぎるため実用的ではありませんでした。

選択肢1：日本の小中学校でもプログラミングを教えるようになってきましたが、ブームが始まったときは日本の小中学生がプログラミングを学ぶ機会は多くありませんでした。そのため、ディープラーニングに関する研究に貢献した割合は小さいと考えられます。
選択肢3：個人情報利用に関する保護対象は拡大しているため、緩くなっていません。
選択肢4：シンギュラリティはまだ到達していません。"
3,人工知能とは,"（ア）に最もよく当てはまる選択肢を選んでください。
人工知能が何か新しいことを実現してしまうと、「それはただの自動化であって人工知能ではない」と考えようとする心理効果のことを（ア）という。",AI効果,人工知能一般化現象,ザイオンス効果,イライザ（ELIZA）効果,1,"選択肢1が正解です。
AI効果とは、人工知能が何か新しいことを実現してしまうと、「それはただの自動化であって人工知能ではない」と考えようとする心理効果のことです。例えば、「掃除ロボットは凄いけど、あくまで自動化であって、人工知能ではないよね」と考えてしまう心理効果のことです。

選択肢2：「人工知能一般化現象」といった用語はありません。
選択肢3：ザイオンス効果とは、接触回数が増えると、その人に対して好印象を持つ心理効果のことを言います。
選択肢4：イライザ（ELIZA）効果とは、意識的にはわかっていても、無意識的にコンピュータの動作が人間と似ていると感じてしまう現象のことを言います。"
4,人工知能とは,人工知能の説明として最も不適切な選択肢を1つ選んでください。,人工知能という言葉は、ジョン・マッカーシーが初めてダートマス会議で使ったものである,人工知能は、推論、認識、判断など人間のような知的なふるまいをする人工的に作られた機械である,東京大学大学院の松尾教授は、人工知能を「人工的に作られた人間のような知能、ないしはそれを作る技術」と定義している,人工知能における「知的な振る舞い」は定まった解釈が存在する,4,"選択肢4が正解です。
「知的」の解釈は研究者によって大きく異なるため 、「知的なふるまい」の解釈も研究者によって異なっています。

選択肢1：正しい説明です。人工知能は、ジョン・マッカーシー氏が、1956年に開催されたダートマス会議で初めて使った言葉です。
選択肢2：正しい説明です。人工知能とは、推論、認識、判断など人間のような知的なふるまいをする人工的に作られた機械のことをいいます。
選択肢3：正しい説明です。松尾教授は、人工知能を「人工的に作られた人間のような知能、ないしはそれを作る技術」と定義しています。"
5,人工知能とは,"（ア）に最もよく当てはまる選択肢を選んでください。
人工知能研究は、「ブーム」と「冬の時代」が繰り返されている。第1次人工知能ブームは（ア）の時代と言われ、（ア）の研究が進んだ。第2次人工知能ブームは、（イ）の時代と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムなどの研究が進んだ。第3次人工知能ブームは、（ウ）の時代と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得するシステムの研究が進んだ。",機械学習・特徴表現学習,推論・探索,知識,メタバース,2,"選択肢2が正解です。
第1次人工知能ブームは、「推論・探索の時代」と言われ、推論・探索の研究が進みました。しかし、迷路の謎解きなど簡単な問題は解ける一方で、現実世界の複雑な問題を解くことができないことが明らかになると、「ブーム」が終わり「冬の時代」になってしまいました。

選択肢1：第3次人工知能ブームは、「機械学習・特徴表現学習の時代」と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得する機械学習、他にもデータの特徴量を人工知能自らが学習するディープラーニングなどの登場が「ブーム」のきっかけになりました。
選択肢3：第2次人工知能ブームは、「知識の時代」と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムであるエキスパートシステムなどの研究が進められました。しかし、大量の知識を与えるコストが大きい上に、知識を明確にカテゴリー分けすることが難しいことが明らかになると、「ブーム」が終わり「冬の時代」になってしまいました。
選択肢4：人工知能のブームの中で、メタバースの時代というものはありません。メタバースとは、コンピュータの中に構築された3次元の仮想空間のことです。"
6,人工知能とは,"（イ）に最もよく当てはまる選択肢を選んでください。
人工知能研究は、「ブーム」と「冬の時代」が繰り返されている。第1次人工知能ブームは（ア）の時代と言われ、（ア）の研究が進んだ。第2次人工知能ブームは、（イ）の時代と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムなどの研究が進んだ。第3次人工知能ブームは、（ウ）の時代と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得するシステムの研究が進んだ。",機械学習・特徴表現学習,推論・探索,知識,メタバース,3,"選択肢3が正解です。
第2次人工知能ブームは、「知識の時代」と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムであるエキスパートシステムなどの研究が進められました。しかし、大量の知識を与えるコストが大きい上に、知識を明確にカテゴリー分けすることが難しいことが明らかになると、「ブーム」が終わり「冬の時代」になってしまいました。

選択肢1：第3次人工知能ブームは、「機械学習・特徴表現学習の時代」と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得する機械学習、他にもデータの特徴量を人工知能自らが学習するディープラーニングなどの登場が「ブーム」のきっかけになりました。
選択肢2：第1次人工知能ブームは、「推論・探索の時代」と言われ、推論・探索の研究が進みました。しかし、迷路の謎解きなど簡単な問題は解ける一方で、現実世界の複雑な問題を解くことができないことが明らかになると、「ブーム」が終わり「冬の時代」になってしまいました。
選択肢4：人工知能のブームの中で、メタバースの時代というものはありません。メタバースとは、コンピュータの中に構築された3次元の仮想空間のことです。"
7,人工知能とは,"（ウ）に最もよく当てはまる選択肢を選んでください。
人工知能研究は、「ブーム」と「冬の時代」が繰り返されている。第1次人工知能ブームは（ア）の時代と言われ、（ア）の研究が進んだ。第2次人工知能ブームは、（イ）の時代と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムなどの研究が進んだ。第3次人工知能ブームは、（ウ）の時代と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得するシステムの研究が進んだ。",機械学習・特徴表現学習,推論・探索,知識,メタバース,1,"選択肢1が正解です。
第3次人工知能ブームは、「機械学習・特徴表現学習の時代」と言われ、大量のデータ（ビッグデータ）を用いることで人工知能が自ら知識を獲得する機械学習、他にもデータの特徴量を人工知能自らが学習するディープラーニングなどの登場が「ブーム」のきっかけになりました。

選択肢2：第1次人工知能ブームは、「推論・探索の時代」と言われ、推論・探索の研究が進みました。しかし、迷路の謎解きなど簡単な問題は解ける一方で、現実世界の複雑な問題を解くことができないことが明らかになると、「ブーム」が終わり「冬の時代」になってしまいました。
選択肢3：第2次人工知能ブームは、「知識の時代」と言われ、特定の専門分野の知識を大量に取り込み、その知識をもとに専門家のように様々な推論・判断を行うシステムであるエキスパートシステムなどの研究が進められました。しかし、大量の知識を与えるコストが大きい上に、知識を明確にカテゴリー分けすることが難しいことが明らかになると、「ブーム」が終わり「冬の時代」になってしまいました。
選択肢4：人工知能のブームの中で、メタバースの時代というものはありません。メタバースとは、コンピュータの中に構築された3次元の仮想空間のことです。"
8,人工知能をめぐる動向,知識ベース構築において、オントロジーが重要である理由として、最も不適切な選択肢を選択してください。,過去に記述した知識を再利用することができるため,複数人で知識を記述することが可能になるため,知識間の矛盾をなくすことができるため,他人が記述した知識を活用することができるため,3,"選択肢3が正解です。
知識を記述する上での明確な仕様があったとしても、知識間の矛盾をなくすことはできません。 

選択肢1：知識を記述するルールがあることで、過去に記述した知識を再利用することができます。
選択肢2：知識を記述するルールがあることで、複数人で知識を記述することが可能になります。
選択肢4：知識を記述するルールがあることで、他人が記述した知識を活用することができます。"
9,人工知能をめぐる動向,オントロジーに関する説明として、最も不適切な選択肢を選択してください。,LODはライトウェイト・オントロジーと相性が良い,ワトソンは、コールセンターや広告など様々な分野で活用されている,Cycプロジェクトは、ライトウェイト・オントロジーに基づいたプロジェクトの1つである,セマンティック・ウェブはライトウェイト・オントロジーと相性が良い,3,"選択肢3が正解です。
Cycプロジェクトは、「ヘビーウェイト・オントロジー」に基づいたプロジェクトの1つです。そのため、「Cycプロジェクトは、ライトウェイト・オントロジーに基づいたプロジェクトの1つである」は間違いです。

選択肢1：正しい説明です。LODはライトウェイト・オントロジーと相性が良いです。
選択肢2：正しい説明です。ワトソンは、コールセンターや広告など様々な分野で活用されています。
選択肢4：正しい説明です。セマンティック・ウェブはライトウェイト・オントロジーと相性が良いです。"
